state,biden_votes_2020,trump_votes_2020,other_votes_2020,clinton_votes_2016,other_2016,cases_jan_2020,cases_feb_2020,cases_mar_2020,cases_apr_2020,cases_may_2020,cases_jun_2020,cases_jul_2020,cases_aug_2020,cases_sep_2020,cases_oct_2020,cases_nov_2020,cases_dec_2020,cases_jan_2021,cases_feb_2021,cases_mar_2021,cases_apr_2021,cases_may_2021,cases_jun_2021,cases_jul_2021,cases_aug_2021,cases_sep_2021,cases_oct_2021,cases_2020,deaths_jan_2020,deaths_feb_2020,deaths_mar_2020,deaths_apr_2020,deaths_may_2020,deaths_jun_2020,deaths_jul_2020,deaths_aug_2020,deaths_sep_2020,deaths_oct_2020,deaths_nov_2020,deaths_dec_2020,deaths_jan_2021,deaths_feb_2021,deaths_mar_2021,deaths_apr_2021,deaths_may_2021,deaths_jun_2021,deaths_jul_2021,deaths_aug_2021,deaths_sep_2021,deaths_oct_2021,vax_dec_2020,vax_jan_2021,vax_mar_2021,vax_apr_2021,vax_may_2021,vax_june_2021,vax_jul_2021,vax_aug_2021,vax_sep_2021,vax_oct_2021,deaths_pc_jun_2020,stay_begin,stay_end,shutdown_date_range,shutdown_length,total_population_2010,total_population_est_2019,census_fips_code,q1_gdp_2020,q2_gdp_2020,q3_gdp_2020,q4_gdp_2020,pc_income_2020,oct_2020_unemployed,drug_alc_deaths_2019,state_social_liberalism_policy,percent_women_legislature,state_econ_liberalism_policy,mass_social_liberalism_policy,mass_econ_liberalism_policy
Iowa,759061,897672,23760,653669,51742,0,0,2794,83724,441186,731691,1152156,1651099,2312934,3291856,5542766,8057514,9400823,9216967,10664455,10763390,11439878,11182191,11652577,12121021,12856367,10734865,8057514,0,0,26,1947,10769,19631,24212,30669,37216,47525,61570,102151,133127,146601,174717,176148,186247,183046,190939,192828,191816,154021,45589,252202,1539664,2378407,2846992,3035131,3141289,3305699,3452574,3730566,62.22048956124586,1970-01-01,1970-01-01,0,0,3046355,3155070,19000,-5.5,-29.9,44,13.4,55218,0.037,782,NA,28.7,0.09666791886264844,1.5915803585438455,-0.6150136793858183
Kansas,570323,771406,0,427005,30973,0,0,2408,55555,241100,355114,663964,1086757,1554737,2245140,3684696,6058556,7961794,8111435,9338079,9232736,9730342,9532040,10075204,10903355,11797104,9678529,6058556,0,0,60,2241,5676,7457,9654,12644,16808,26397,38850,67842,104691,122443,150082,149017,157316,154584,162219,168618,175226,141812,13708,221469,1290992,2015317,2327157,2484177,2702724,2912590,3085006,3348974,25.59627970071197,2020-03-30,2020-05-03,34,34,2853118,2913314,20000,0.4,-34.4,44.9,9.4,56073,0.05,783,NA,29.7,-0.9332387856103426,0.8667124570034189,-0.5076936594637157
Kentucky,772474,1326646,11414,628854,38572,0,0,3398,74780,234711,389689,694134,1272814,1873371,2751940,4313753,7192976,10029855,10964719,13036670,13173444,14101798,13906617,14627873,16265412,19276243,16605947,7192976,0,0,84,3889,10848,15726,20877,26308,33249,42363,53507,78888,106593,124111,168065,192216,210491,216081,227104,233910,248114,213282,52296,404705,2100387,3142500,3650993,3994259,4194567,4554273,4930548,4914845,35.199532284480085,2020-03-26,2020-06-29,95,95,4339367,4467673,21000,-3.1,-33.9,46.6,7.2,46507,0.073,2040,NA,26.8,-0.26414126497310736,0.4556308822396094,-0.39595533699383123
Louisiana,856034,1255776,14607,780154,32262,0,0,28913,625639,1061231,1436753,2696554,4228513,4777934,5504935,6223001,8533266,11214867,11714047,13580984,13546142,14424607,14293906,15543705,19308469,21572816,17230947,8533266,0,0,1137,32872,75798,91082,109304,139101,157941,177422,184804,215113,253071,260429,307155,307961,325059,320002,336045,362171,398328,327320,44351,443715,1963625,2708891,3082449,3339493,3646097,4194618,4518953,4883767,195.92608319491035,2020-03-23,2020-05-15,53,53,4533372,4648794,22000,-14.4,-38.3,41.5,5.3,50037,0.094,1684,NA,18.8,-0.9465911696815189,0.3514000647861223,-0.38015152913504474
Maine,435072,360737,18344,357735,40459,0,0,2110,22358,52158,84057,112034,129919,148402,183375,274062,542935,1008506,1187811,1472262,1682195,2025382,2057559,2155543,2257783,2474510,2200530,542935,0,0,13,843,2180,3010,3546,3951,4108,4474,5020,8509,14847,18250,22405,22805,25000,25434,27196,28281,29298,24750,23345,140353,697663,1183324,1480965,1604932,1666488,1743118,1824230,1970022,22.39230121439178,2020-04-02,2020-05-31,59,59,1328361,1344212,23000,6.3,-31.4,42.5,5.8,54225,0.054,599,NA,43.5,1.5591636829600333,2.358563868891096,-0.18062345609953676
Maryland,1985023,976414,42105,1678006,80407,0,0,8831,327492,1190664,1867000,2391813,3103859,3532754,4187127,5084196,7457248,9940220,10369061,12271443,12951471,14119876,13846079,14401821,14935089,15456400,12546801,7457248,0,0,84,13760,59244,88044,103834,112721,115669,125065,130307,163321,202544,211292,250699,255638,279414,290632,303164,307077,306811,244431,50312,505454,2809466,4805115,6141079,6876449,7213539,7597489,7969400,8551141,145.63126066877507,2020-03-30,2020-05-15,46,46,5773552,6045680,24000,-4.6,-28.7,31,5.7,68258,0.077,2851,NA,41,1.0661267373324403,2.1110088764341515,0.1471313905313941
Massachusetts,2382202,1167202,61588,1995196,154714,0,29,34418,977699,2582585,3164865,3498717,3824563,3785693,4449113,5713002,9388617,14211233,15581812,18804214,19984577,21720180,21266782,22108435,22889238,23591151,19042123,9388617,0,0,340,42952,170827,228975,259483,273880,277353,300917,310467,357261,419883,432042,517635,523106,550358,538450,558863,562687,552544,431880,76211,579181,3611067,6174851,8046706,8836836,9143308,9472140,9798631,10464368,332.20877814634247,2020-03-24,2020-05-18,55,55,6547629,6892503,25000,-4.7,-30.7,38.4,2.5,79721,0.074,3050,NA,31,1.8394640143970122,3.1420374593900062,0.052708203637586375
Michigan,2804040,2649852,25029,2268839,78766,0,0,39225,818293,1558908,1981377,2483179,3165462,3764054,4999083,8611257,14692014,17834550,17607903,21170779,25553116,30119251,29867871,31075476,31984460,33057380,27594123,14692014,0,0,967,59519,148969,179464,196370,204451,207890,227720,255026,357241,449415,450356,520979,535742,611379,622836,653474,661040,657852,524296,68398,977030,4419793,7118239,8687320,9424037,9798817,10187046,10627069,11517164,179.7001799465037,2020-03-24,2020-06-01,69,69,9883640,9986857,26000,-8.3,-32.2,44.3,6.1,52987,0.061,3758,NA,35.8,0.3580287706849425,1.47455271739829,-0.3635189092253506
Minnesota,1717077,1484065,41053,1367705,141156,0,0,4480,65270,469404,925287,1388670,2020252,2608776,3740804,6851262,11794182,13726005,13263579,15511379,16497131,18371955,18117499,18849573,19494121,20334921,17108662,11794182,0,0,47,3818,21878,39472,48459,54441,59400,70493,90661,142668,182964,180040,210239,212114,229041,228272,239535,242757,241622,194573,61399,518744,2751928,4354128,5420670,5867176,6082721,6378868,6665091,7237372,69.99038235118887,2020-03-27,2020-05-17,51,51,5303925,5639632,27000,-5,-31.5,38.7,7.6,61540,0.046,1714,NA,35.8,1.0023157253929331,1.7600057833984575,-0.22342678851504158
Mississippi,539398,756764,9571,485131,9077,0,0,5791,109721,344072,614642,1279092,2235453,2734173,3374666,4059206,5744183,7708885,8019031,9323406,9256975,9763821,9586090,10199462,12077301,14024295,11399820,5744183,0,0,88,3972,15804,27336,40931,64526,82125,97849,107108,132830,168606,180002,213847,213810,225030,220893,231518,244544,272112,226440,16950,236401,1158505,1591206,1769523,1909507,2150026,2447529,2783784,2978090,91.850240024945,2020-04-03,2020-04-27,24,24,2967297,2976149,28000,1.5,-36.4,48.4,7.3,41745,0.074,671,NA,16.1,-1.5965191485972103,-0.07696450650402964,-0.4238789929689847
