state,biden_votes_2020,trump_votes_2020,other_votes_2020,clinton_votes_2016,other_2016,cases_jan_2020,cases_feb_2020,cases_mar_2020,cases_apr_2020,cases_may_2020,cases_jun_2020,cases_jul_2020,cases_aug_2020,cases_sep_2020,cases_oct_2020,cases_nov_2020,cases_dec_2020,cases_jan_2021,cases_feb_2021,cases_mar_2021,cases_apr_2021,cases_may_2021,cases_jun_2021,cases_jul_2021,cases_aug_2021,cases_sep_2021,cases_oct_2021,cases_2020,deaths_jan_2020,deaths_feb_2020,deaths_mar_2020,deaths_apr_2020,deaths_may_2020,deaths_jun_2020,deaths_jul_2020,deaths_aug_2020,deaths_sep_2020,deaths_oct_2020,deaths_nov_2020,deaths_dec_2020,deaths_jan_2021,deaths_feb_2021,deaths_mar_2021,deaths_apr_2021,deaths_may_2021,deaths_jun_2021,deaths_jul_2021,deaths_aug_2021,deaths_sep_2021,deaths_oct_2021,vax_dec_2020,vax_jan_2021,vax_mar_2021,vax_apr_2021,vax_may_2021,vax_june_2021,vax_jul_2021,vax_aug_2021,vax_sep_2021,vax_oct_2021,deaths_pc_jun_2020,stay_begin,stay_end,shutdown_date_range,shutdown_length,total_population_2010,total_population_est_2019,census_fips_code,q1_gdp_2020,q2_gdp_2020,q3_gdp_2020,q4_gdp_2020,pc_income_2020,oct_2020_unemployed,drug_alc_deaths_2019,state_social_liberalism_policy,percent_women_legislature,state_econ_liberalism_policy,mass_social_liberalism_policy,mass_econ_liberalism_policy
Ohio,2679165,3154834,20634,2394164,261318,0,0,12114,287164,847509,1279993,2204116,3343527,4190398,5591170,9233817,17895416,25171161,26258115,30773169,31421750,33790138,33224014,34648858,36173600,39659430,33884916,17895416,0,0,219,12517,49709,77119,97128,118706,134914,157317,174314,240430,313282,412112,555880,567862,606454,603465,632931,639943,640778,528967,94126,954013,5295592,8366253,9907511,10684968,11086847,11631364,12089450,13051101,65.97513923227622,2020-03-23,2020-05-19,57,57,11536504,11689100,39000,-4.2,-32.9,40,6.9,53296,0.061,5682,NA,31.1,0.37468384963742823,1.3481258869203274,-0.3825791310223299
Oklahoma,503890,1020280,11798,420375,0,0,0,3069,67883,160500,277672,738132,1492560,2178612,3264217,4710466,7619429,10743037,11515627,13408702,13322003,13979147,13655732,14451696,15967301,17589239,14431628,7619429,0,0,101,3692,8877,10849,13870,20766,27571,36040,46241,65753,92268,112191,146330,190656,215294,220332,230207,236746,251446,217210,46609,437985,1930169,2681258,2959139,3267350,3460262,3829308,4152019,4501331,27.41743621573168,2020-04-01,2020-05-06,35,35,3751351,3956971,40000,-18.4,-43.5,51.7,10.1,49249,0.062,1339,NA,20.8,-0.8910837748046205,0.5238156018221135,-0.534581690741493
Oregon,1340383,958448,33908,1002106,122596,0,2,4621,50484,108485,184416,421377,713551,900076,1208025,1751804,3000761,4049846,4203353,4966419,5219454,6037293,6165839,6593811,7593162,9146467,7928640,3000761,0,0,129,1829,4161,5420,7946,12219,15457,19245,23590,38399,54189,59160,72516,73890,80617,82850,88156,93068,105324,93256,31386,407890,1854126,3047017,4073216,4517691,4743550,4972756,5233207,5651843,12.850493048760507,2020-03-23,2020-06-19,88,88,3831074,4217737,41000,2.6,-33,40.4,4.4,56765,0.068,1699,NA,43.3,1.1327869236151542,2.0822813839812744,-0.19297324316023176
Pennsylvania,3458229,3377674,0,2926441,71513,0,0,23859,822697,1994490,2516170,3210520,3985340,4544303,5751331,8392893,16063356,23523054,25142778,30360800,32934457,36827955,36396709,37858158,39069051,40928495,34186541,16063356,0,0,268,30595,134081,188226,217270,233003,239575,264555,286087,408981,588733,646142,764787,770117,831852,826500,861013,868367,862563,693139,143381,1088172,6056762,10051650,12587891,13873980,14548512,15403600,16205819,17661174,147.02871561598747,2020-04-01,2020-06-04,64,64,12702379,12801989,42000,-8.1,-33.7,39.6,7.2,62198,0.074,5522,NA,29.6,0.739021808045994,1.3904694332250915,-0.28027051717117707
Rhode Island,307486,199922,4529,252525,16330,0,0,2570,119603,381262,481310,549884,635058,698781,871329,1314015,2303209,3208106,3394694,4085755,4297329,4662994,4568395,4747455,4909137,5028153,4033714,2303209,0,0,17,3459,15471,25484,30536,31771,32422,35738,38173,48953,61929,65245,79889,79405,83589,81673,84773,85264,84105,65683,13166,91177,559186,913120,1163595,1276058,1329473,1393434,1461411,1571070,240.56011123686827,2020-03-28,2020-05-08,41,41,1052567,1059361,44000,-4.6,-28.5,35.2,7.1,60837,0.071,451,NA,45.1,2.1116419613837034,2.870951682639174,-0.10272255677540094
South Carolina,1091541,1385103,9536,855373,43061,0,0,6329,113247,269994,636483,1978230,3278566,4017202,5027463,5897776,8095910,11769420,13575079,16594789,16989314,18211291,17854108,18708575,20733368,24160417,20192233,8095910,0,0,127,3284,11736,18424,35108,70086,92881,112970,124600,149492,189894,223267,275781,279581,298656,293479,305714,314679,344667,299925,50258,439541,2150462,3241756,3774914,4190059,4410827,4812642,5262891,5730131,35.78369278231418,2020-04-07,2020-05-04,27,27,4625364,5148714,45000,2.8,-32,43.6,5.8,47502,0.042,1801,NA,17.6,-1.7166227321399767,0.6576906181327287,-0.46936437156775596
South Dakota,150471,261043,0,117458,4064,0,0,711,36231,118915,177958,240095,326993,529111,1007707,1938994,2843018,3244540,3089709,3565684,3614586,3831482,3731244,3868708,3956974,4162440,3421430,2843018,0,0,22,211,1278,2282,3471,4707,5746,9767,19937,39407,50600,51382,59314,58493,61727,60777,63240,63684,62928,50140,21154,105961,496601,699187,776141,819287,851237,899563,957432,1028110,25.79524992115606,1970-01-01,1970-01-01,0,0,814180,884659,46000,17.9,-36.6,40.3,11,57273,0.037,281,NA,28.6,-1.2848527577073132,1.0601588996624298,-0.6688598947838275
Tennessee,1143711,1852475,27788,870695,114407,0,0,12360,187332,536423,956724,2204796,4014961,5211831,6915907,9231001,14564881,20428259,20758262,24174360,24465405,26106954,25559227,26742936,29258076,33858593,28190096,14564881,0,0,59,3741,8850,14450,24839,42831,62682,88765,117769,176044,254407,300416,358511,358523,379012,372307,388887,401078,423962,357567,87338,609213,2655309,4009536,4852489,5272627,5755732,6322024,6875072,7457778,21.159220719811795,2020-03-31,2020-04-30,30,30,6346105,6829174,47000,0.7,-42.5,55.9,9.2,50547,0.073,3155,NA,16.7,-0.5708675602246165,0.4102697383051768,-0.47645337713595715
Texas,5259126,5890347,39340,3877868,122819,0,91,20623,494349,1463433,3090759,9496585,17220155,21291250,26765048,33104736,47212101,64851664,71461628,84649388,85205219,90635223,89195101,94237666,104271222,115996962,95256475,47212101,0,0,270,12274,40047,62054,126673,320762,440263,539095,607190,779112,1008216,1150182,1448005,1487336,1584068,1564667,1640784,1701106,1842306,1570495,518000,2408879,11604088,18885671,22990898,25686380,27420863,30165551,32309531,34598563,21.400970710288128,2020-04-02,2020-04-30,28,28,25145561,28995881,48000,-8.9,-37.9,45.3,8.9,54841,0.069,6011,NA,26.5,-0.9023406464496871,0.9998720701775975,-0.4629406878296812
Utah,560282,865140,24420,310674,265824,0,5,5562,82277,221484,464269,988673,1445189,1830446,2871556,4662973,7429166,9842546,10101969,11751648,11754057,12473462,12313899,13109059,13877144,14613690,12059110,7429166,0,0,20,722,2472,4294,7305,11327,13068,16605,21949,33745,45797,50361,63056,64882,69997,69866,74718,78893,83164,69658,24295,286501,1327487,2116254,2589347,2847810,3005542,3228943,3427654,3699512,13.393812395546043,1970-01-01,1970-01-01,0,0,2763885,3205958,49000,13.8,-32.1,36.5,4.5,52251,0.041,904,NA,24,-1.020876322259031,0.23765411769566722,-0.6998431226748406
Vermont,242820,112704,11836,178573,36447,0,0,1850,21158,29029,33551,41004,46881,50777,60075,91482,185248,303812,383757,531684,645633,736970,729955,761831,817433,927289,830770,185248,0,0,93,958,1651,1663,1738,1793,1740,1798,1831,3169,4979,5332,6681,7121,7815,7677,8012,8257,8821,7747,12241,67180,328451,563428,774149,851583,872990,874010,897919,980062,26.651110836889753,2020-03-24,2020-05-15,52,52,625741,623989,50000,-4.4,-35.5,48.9,6,58650,0.032,267,NA,42.2,1.710930817420089,3.07862297358565,0.09982578396840275
Virginia,2413568,1962430,19765,1981473,113562,0,0,6976,223907,925411,1644315,2330822,3291471,4069810,5085677,6195771,9076350,13357007,15308866,18535638,19242450,20752304,20342044,21250074,22501366,24563855,20563740,9076350,0,0,162,7019,30685,47056,61641,74189,86483,106447,115120,140241,176941,200970,306755,316113,340977,339441,355646,360699,366484,304302,79421,833221,4056991,6643728,8356712,9230660,9679982,10240407,10882638,11792158,55.12962949294589,2020-03-30,2020-05-29,60,60,8001024,8535519,51000,-0.4,-28.3,32.9,6.9,62362,0.052,2394,NA,30,-0.8756507697395758,1.4645039579025438,-0.22236541020642703
Washington,2369612,1584651,52868,1742718,191675,11,60,46214,327552,594493,845988,1439072,2150641,2537498,3148094,4172887,6674793,8942940,9283692,10991162,11560038,13132454,13413667,14333442,16036798,18451732,15832649,6674793,0,1,2377,16938,30824,36893,46101,57397,63369,72562,80071,98238,122774,132928,161026,162568,176236,176507,188466,196759,215042,187626,64077,684344,3586736,5828363,7653428,8563778,9003082,9498458,9580603,10326063,48.44848115397025,2020-03-24,2020-05-31,68,68,6724540,7614893,53000,6.7,-27.6,35.5,5.7,68322,0.06,2680,NA,41.5,0.32666839223641203,2.2625824473771132,-0.06617463659172645
West Virginia,235984,545382,2599,188794,11882,0,0,866,21315,47442,71793,145677,262522,394496,609037,1046960,2081323,3300070,3563232,4227093,4432742,4900759,4893254,5118969,5441407,6481281,5856184,2081323,0,0,3,515,1951,2613,3101,4966,8578,12325,17759,32316,53239,61451,77397,82347,85255,85506,90479,92920,99935,91822,52837,259774,874459,1173419,1315912,1417620,1487736,1514115,1549965,1590905,14.580277175923626,2020-03-24,2020-05-04,41,41,1852994,1792147,54000,-14,-39.6,54.9,11.8,45109,0.064,1186,NA,11.9,-0.18142065875539268,-0.12352835976665505,-0.6012623005866287
Wisconsin,1630866,1610184,18500,1382536,81656,0,25,9353,119648,391353,761387,1357567,2165905,3030848,5505967,9932235,14724521,17417378,16987567,19431653,19474884,20744885,20295029,21105397,21977820,23070295,19375292,14724521,0,0,135,5402,13922,21236,26417,32504,36898,50372,84560,139531,181152,189281,222846,222453,238845,240767,254361,258923,260136,208734,55441,491058,2905410,4644336,5481395,5906485,6163565,6469278,6789307,7374991,36.47271914117017,2020-03-25,2020-05-13,49,49,5686986,5822434,55000,-3.6,-33.4,43.6,5.6,55487,0.06,2091,NA,31.1,0.6911910773029025,1.5762225092062587,-0.3727629192738084
Wyoming,73491,193559,5685,55973,15109,0,0,776,10987,22780,33714,63980,102356,140056,279238,698301,1239260,1509286,1491294,1716641,1716152,1835240,1839310,1970340,2152271,2491712,2198399,1239260,0,0,0,82,300,555,710,991,1375,1926,4563,10232,16289,18153,21393,21091,22099,21921,23554,24971,27400,24550,4763,57023,262406,356057,395629,421749,447473,478281,520777,569168,9.589483705652958,1970-01-01,1970-01-01,0,0,563626,578759,56000,-16.1,-48.4,54.9,12.3,63263,0.055,259,NA,17.8,-2.071086331802819,0.6420793668120648,-0.8460850319380008
